Entidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Mexico-Aguascalientes,13.8,14.7,17.9,18.8,21.8,23.5,20.3,21.3,20,17.8,16.3,
Mexico-Baja_California,13.7,15.5,19.2,20.4,22.7,26.4,29.3,29,25.5,23.2,19.2,
Mexico-Baja_California_Sur,17.8,19.3,21.8,23.1,23.7,26.6,29.8,30.8,28.3,28,24.3,
Mexico-Campeche,25.5,26.7,27.4,29.5,30.8,29.3,29,29.4,29,27.2,25,
Mexico-Chiapas,23.3,25,25.4,26.3,27.3,26,25.9,26.1,26,25.1,23.8,
Mexico-Chihuahua,11.7,13.9,17.6,20.4,22.5,26.9,24.6,23.6,22.9,20.5,16.9,
Mexico-Coahuila_de_Zaragoza,16.3,18.6,20.7,23.3,26.1,28.4,28.6,28.2,26.2,21.3,18.7,
Mexico-Colima,25,24.9,26.2,24.7,26.5,28.5,28.8,28.5,27.7,28.2,27.7,
Mexico-Durango,13.4,14.9,17.6,20.2,22.5,25,23,22.4,21,19.5,16.5,
Mexico-Guanajuato,15.5,17,19,20.7,23.5,22.9,20.5,21.1,20.1,18.8,17.1,
Mexico-Guerrero,23.9,24.3,25.6,26.1,27.1,26.3,25.8,25.9,25.2,25.2,24.5,
Mexico-Hidalgo,15.7,17.4,18.4,19.6,23,22.1,20.3,21.2,19.8,18.2,16.5,
Mexico-Jalisco,17.5,18.2,21,22.2,24.7,25.5,23.3,23.6,22.7,21.8,20,
Mexico-Mexico_City,15.5,16.9,17.3,19.3,21.3,20.3,18.7,19.6,18.5,17.6,16.2,
Mexico-Michoacan_de_Ocampo,17.6,18.5,20.6,21.9,24.2,24,22,22.4,21.7,21,19.2,
Mexico-Morelos,19.7,21.5,23.4,25,25.4,23.1,22.5,22.6,22.2,21.6,20.3,
Mexico-Nayarit,21.8,22.9,24.7,25.2,26.9,28.6,28.5,28.4,27.8,28.1,26.5,
Mexico-Nuevo_Leon,16.8,20.4,22,23.8,26.2,28.3,28,28.6,26.2,21.6,19.6,
Mexico-Oaxaca,22.4,23.2,24.3,25.6,26.7,26,25.5,25.5,24.8,24.4,23,
Mexico-Puebla,15.7,17.1,18.1,19.8,21.4,20.3,19.1,19.8,18.9,18,16.2,
Mexico-Queretaro_de_Arteaga,16.3,18.2,19.5,21.6,24.4,23.5,21.4,21.7,20.5,19.1,17.4,
Mexico-Quintana_Roo,25.4,26.6,26.4,28.2,29.7,29.5,29.8,29.9,29.6,27.4,25.4,
Mexico-San_Luis_Potosi,19.2,21.9,22.8,25.3,27.4,27.8,25.7,27.2,25,22.6,21.5,
Mexico-Sinaloa,20,21,24,24.7,26.6,29.8,30.7,30.3,29.6,29.7,26.1,
Mexico-Sonora,14,17.3,20.8,22.6,24.3,30,29.7,29.9,27.9,26.4,22,
Mexico-State_Of_Mexico,11.7,12.8,14.2,15.7,17.8,17.3,15.8,16.5,15.7,14.6,12.7,
Mexico-Tabasco,24.5,26,26.9,28.7,29.9,28.5,28.7,28.7,28.2,26.7,25.1,
Mexico-Tamaulipas,20.3,23.2,24.1,26,28.1,29.9,29.1,30.2,28.1,24.2,22.7,
Mexico-Tlaxcala,12.5,13.5,14.5,16.1,18.4,17.2,16.7,17.5,17.1,15.5,13.5,
Mexico-Veracruz_de_Ignacio_de_la_Llave,20.7,22,22.4,24.6,26.1,25.8,24.5,25.5,24.4,22.8,21.3,
Mexico-Yucatan,24.2,25.7,25.9,28.3,29.7,28.7,28.3,28.6,28.4,26.6,24.1,
Mexico-Zacatecas,13.5,14.4,16.9,18.7,21.9,22.8,20.3,20.7,18.9,17.7,15.8,
